"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
58	151	183	116	242	416	390	443	318	15154	15285	14613	17322	15419	13939	16432	15933	0.00348706621881492	2.30554103097853
59	303	256	233	404	666	563	1023	814	3124	3423	3340	3425	4061	2777	4632	4308	0.00347018744607917	2.16100528592438
60	1288	1173	1247	1374	2289	1778	2047	2938	20446	20239	17082	22528	21602	16312	18283	21142	0.000667862520582827	1.81909835969187
61	568	990	584	404	1790	1127	1262	1593	1324	1834	1343	1513	2207	1517	1604	1964	0.00579052623613382	1.91935031785008
62	1629	3044	2104	3435	791	1214	1433	1557	2688	4530	3640	5135	2559	2843	3412	3631	0.000946012900767182	-1.59834271923908
63	75	220	155	282	374	433	341	460	5412	6114	5567	6579	4257	4425	5018	5114	0.00249511461074382	2.93119214133319
64	1818	1540	1519	1535	1873	1474	2354	1947	12717	11672	14072	11377	25317	23782	27704	25965	0.00278710919841053	-1.74164217899347
65	227	293	311	242	666	997	409	354	1249	1063	1150	808	1229	1322	733	620	0.000368421185678562	2.37547468278462
66	3637	3264	3429	4486	6369	8456	9112	10020	11732	10234	10487	12567	14987	16421	17937	18420	8.10521873443995e-05	1.51282529033981
67	947	953	1363	1212	166	563	341	177	18943	13822	17486	14609	20816	18792	22752	19671	0.000245800701792709	-4.69880858043377
68	189	146	194	404	749	823	648	672	1382	1612	1443	1734	2141	2209	2065	1770	0.00281248205058891	2.4555309456221
69	454	623	545	767	83	86	238	141	4248	4422	4071	5019	3469	3771	3228	3727	0.00119942917046402	-3.54963913280748
70	378	513	467	323	374	867	409	778	3294	3378	2373	2468	873	1235	886	1327	0.000190144831729674	3.60141363708045
71	719	1320	701	1657	5453	7849	7883	8356	2214	2858	2087	3114	7617	10947	11041	11322	0.00262072058251084	1.77010308317935
72	985	733	896	767	2206	1647	1672	1522	23453	18812	19917	17453	25362	15547	19003	21750	0.000896311738755616	2.03508186611475
73	75	330	194	282	499	780	784	920	2164	2620	2466	1861	1746	1951	2783	2585	0.000907845855493164	3.62828590985067
74	606	330	155	363	666	650	1399	991	2386	1448	2164	1715	1311	1344	2013	1576	0.00588988743202835	3.04108508146089
75	151	183	233	161	291	433	375	424	851	1541	994	1029	749	1214	1226	1081	0.00502662215455718	2.11803932701203
76	871	990	896	1778	2248	2125	2150	3434	3723	4344	3734	5438	5144	4775	5388	6869	0.000166644307818742	1.73955264626079
77	416	440	467	646	208	346	307	247	6831	6772	8062	7608	9050	9912	10591	10327	0.00118035391929294	-2.40180003881499
78	1326	1210	1169	1091	2123	3512	3515	3930	5919	6439	4996	6778	5707	7965	7559	6919	0.00220974726678437	2.25428306285548
79	303	440	350	363	666	650	955	708	1436	1889	1364	949	1311	1236	1776	1487	0.00450974229258535	1.92150957828445
81	1477	1137	1247	1535	1498	1691	2252	1522	4925	4622	4601	5333	9669	10067	10726	10357	0.00334550470863508	-1.62996292627938
83	2993	3484	3312	4567	6286	9107	8327	8533	16178	17963	16986	17235	19403	21632	23457	21658	0.000523642254435633	1.78641756776102
84	189	183	77	202	333	390	273	318	1058	1338	999	1092	1185	1147	834	1098	0.00990760012533285	2.18469048872214
85	75	293	272	242	874	867	1023	495	2612	2551	3409	3514	3179	3722	4015	2832	0.00339014125418786	3.25449259032059
87	416	256	545	202	1582	1084	1604	1133	3688	3131	4295	3157	7062	4425	5749	6059	0.000246184343575263	2.45862729023807
88	227	146	194	161	291	346	307	354	8743	6114	6718	5389	6938	5687	5906	5804	0.000695024054950898	1.96022678141831
89	568	623	389	444	582	520	784	531	4118	3426	2803	2813	2331	2186	2556	2159	0.00341557421410311	1.68261073565856
90	568	366	233	444	1082	520	750	495	2559	1982	1771	2137	2620	1626	2201	1520	0.00126742649504633	1.88909498800995
91	151	220	350	282	249	520	443	460	851	714	1323	1109	540	1365	1006	1043	0.00833152087482083	1.72276656938321
92	151	256	506	242	249	477	375	212	661	879	1498	1049	3286	3910	2865	3600	0.000142000589317997	-2.87645903045506
94	947	476	935	646	249	433	614	354	2460	2384	2180	1637	333	715	767	495	0.00107571936170104	2.09521590044002
96	227	146	116	202	457	303	307	424	5828	6114	6153	5181	5204	4216	4799	4380	9.61139683974167e-05	2.70788247859138
98	1704	1760	1480	1414	4246	3946	6211	8002	7679	8345	8867	9246	12563	11641	16389	16989	0.00448867500778143	2.00778811978211
99	1250	807	1091	1293	2706	2602	2423	2513	10685	8677	10803	8981	15289	13552	14338	13443	0.00284029478028533	1.60776915980223
100	189	183	155	242	1040	390	887	672	3157	2321	2783	2921	4180	2849	3909	3044	0.00176830935809768	2.89616246280044
102	1022	1173	974	808	2289	2515	2423	3115	5039	5485	5473	4840	6343	7885	7997	7263	0.00209686316479921	1.83503947474109
103	151	220	350	161	249	216	238	354	1968	1667	2262	1188	1206	888	1090	1573	0.00398896718895762	1.82577181325971
